text,topic
"Difference between 搂抱, 喂抱, 拥抱, 抱抱?","difference, word"
"Connotations of different ""to give""","meaning in context, etymology, glyph origin"
Sample Mandarin Grammar (Sentences),"grammar, sentence structure"
What phrases in Cantonese are thought to be colloquial but are actually used in Mandarin?,"mandarin, cantonese, colloquialisms"
"校 - How did ""leg-brace"" come to mean ""school""?","etymology, glyph origin, character components"
Correct terms for a roadside gutter and gutter on a roof,"word choice, vocabulary"
Is 用一下 preferable to 用用 or 用一用?,"word choice, usage"
Can classifiers be used poetically?,measure word
Dictionary for traditional characters,dictionary
Omitting 不可 in sentences starting with 非,vocabulary
"Why are there multiple ways to express ""Wait a second"" such as 等、等下、等一下？","grammar, difference"
I need help translating and orienting two signature chops (Characters identified: 精忠報國 忠誠衛士),"translation, character identification, seal"
Simbol / letter?,translation
Is there a difference between 杀害 and 杀死?,vocabulary
I can't recognise the 八 radical in many characters,radicals
yixing teapot Mark translation please,"translation, character identification, seal"
"Translations of ""共欢新故岁，迎送一宵中"" by Li Shimin?",translation
Is this sentence grammatically correct? 中国的建设开始的时候，人人是不以为过环境污染的。,"grammar, mandarin"
What does this tattoo mean in English? (Character identified: 真),character identification
How should I interpret 最大限度 in 我们最大限度地利用现有港口条件运货?,meaning
How can I change the icon used for a keyboard input type in Mac,pinyin
"How similar do terms have to be to connect them with 與, 與其，及其？",conjunction
"Is there a Chinese saying, ''even mosquito legs are meat''?","colloquialisms, saying"
What's the relationship between 炮 and 砲?,"etymology, synonyms, glyph origin"
Can someone please translate this art display?,translation
What does 高举旗帜 mean?,meaning in context
"Why did they write ""这是人的智慧"" here?",meaning
What's the difference between 表明 (biǎomíng) and 清楚地表明 (qīngchǔ dì biǎomíng)?,"difference, adverbs"
What does 讲民主 mean?,word
translate: Today I worked through 2 chapters of my grammar book,translation
Snuff Bottle Calligraphy,translation
Is ～面(上面，下面) more common than ～邊(上邊，下邊) in Taiwan?,"usage, taiwan"
"How to translate ""曖昧"" into English?",translation
"Why does my dictionary define 试图 (""to attempt"") as 打算 (""to plan"")?","meaning, word"
"Translation of ""conscius"" [sic] on stamp (Characters identified: 自覚的)","translation, character identification"
What's difference between 国籍 and 民族?,"word choice, difference"
What is this 喜迎十九大 event all over the recent Chinese news?,culture
How well-known is the expression 杯弓蛇影?,"vocabulary, chengyu"
How should I understand 不要说“你应该……”?,meaning
What is this flute inscription?,translation
What is the fundamental difference between 大同世界 and Utopias,"translation, meaning, dictionary"
What comprehensive grammar books are available?,"grammar, resources, simplified characters, books, academic"
What does 谈晋倏忽之间勾了下嘴角 mean?,"translation, meaning in context"
Does Chinese require more context to avoid ambiguities than English?,"translation, mandarin"
"How did 东西 come to mean ""something"" in the expression ""吃东西""?","expressions, meaning in context"
"Have these two words 牵 and 千, 感 and 敢 the same tone?",tones
"Why isn't the Vietnam War called e.g. 抗美战争 (""Resistance War Against America"") like in Vietnamese?","etymology, history"
"How to say properly translate ""circulation""?","translation, usage"
Words referring to the shape of Chinese characters,characters
"Attack them when they are unready, take them by surprise ： 这个成语有多少方法可以说？","difference, idioms, synonyms, chengyu"
Is there a difference between 凡事 and 所有？,grammar
"Please help me fix the grammar in a birthday letter 祝你生日快乐!!! 对不起, 让你久等了","grammar, writing critique"
Why are 不由 and 無由 Private Polarity antonyms?,antonyms
Chinese Dictionary Question,"mandarin, dictionary"
"Does Chinese have a phrase equivalent to ""For all I know""?","mandarin, word choice, equivalent phrase, phrase"
"How to pronunce ""ji"" (chicken)?",pronunciation
"What does ""(卐)"" as part of 两分字元 mean?","meaning, characters"
"Can someone translate this and read the seal, please? Is it Chinese or Japanese?",translation
Is 各行各业 equivalent to “all walks of life”?,"meaning, idioms, phrase meaning"
Hanzi pronunciation by radicals,"mandarin, characters, pronunciation, traditional characters, reading"
Difference between V+着+V and 一边+V+一边+V,difference
How to say related term in Chinese,translation
What's the difference between 是不是 and 对不对？,"grammar, usage"
"忍不住 vs 忍不了 vs 受不住vs 受不了 - what is the difference, and when should I use each one?",difference
What's on this pendant?,"translation, meaning"
"Is ""白皮书"" a good translation of ""open letter""?",translation
What's the meaning of 帖子的顶楼？,word
"国家 vs. 国, when can 国 be used alone?","mandarin, grammar"
"的确, 确实, 实在, and 真正: what's the difference?","word choice, mandarin, difference"
Why is 有 used in 我最喜欢的科目有艺术，中文和化学?,"grammar, word choice"
"Is there an expression similar to the English ""gut feeling"" in Chinese?","word requests, idioms, expressions"
What does 三声无奈 mean?,"meaning, expressions"
"My boss from Shanghai said, her name ""doesn't mean anything"". I am confused!","translation, names, shanghainese"
为什么“道友”被译作“fellow cultivators”？,translation
Is it acceptable to omit the main clause in 只要～ phrase?,"grammar, mandarin, adverbs"
How should a professor address a woman student?,word choice
"Etymologies and relationship between the characters 錘, 槌, 鎚, and 椎","characters, etymology, glyph origin"
What does 金山 mean?,"meaning in context, word, slang"
Is it okay to use multiple degree-intensifiers in a sentence?,"translation, adverbs"
Is the tone wrongly used in 违章与事故同在?,word choice
遮 versus 捂 versus 盖 in terms of usage,"meaning, usage, difference"
啰 vs. 囉 in Old Texts,"simplified characters, topolect, traditional characters"
When do I need 的?,grammar
Difference between 小老婆 and 小老太,"word choice, difference"
Chinese Stack Exchange Computer,terminology
Game where you adjoin 成语,proverb
Is it fair to assume that 站 and 占 are the same word?,history
How do I make sense of 具备……条件?,"meaning, word"
What is the Old Chinese Pronunciation for the Character 兮?,"pronunciation, poetry"
Politeness in referring to a recent death,"vocabulary, politeness"
"What's the difference between 停车 (tíngchē) and 泊车 (bóchē), which both seem to mean ""park car""?","word choice, difference"
Etymology of foreign names translated to Chinese,"etymology, names"
Difference between 着 正在　and 把,grammar
"What is the most polite way to say ""I beg your pardon""?","phrase, conversation"
Who cook the soup? Confusion,"grammar, meaning in context"
Glyph origin of 咒?,"characters, glyph origin"
"Etymology of 还是 to mean ""or"" in questions",etymology
"Which one has the correct ""lian"", 炼功夫 or 练功夫?","characters, terminology, sport"
"What semantic notions underlie ""righteousness, uprightness"" (義) with ""appearance; apparatus"" (儀)?",etymology
Antique Chinese painting,"culture, history, seal"
How should you start a letter in Chinese?,"meaning, difference"
What is the polite way to respond to a sneeze in Chinese?,politeness
How comes the word 偶像 is related to worship?,"etymology, word"
"天干、地支、八卦和六十四卦 Heavenly Stems, Earthly Branches, 8 Trigrams and 64 Hexagrams","characters, classical chinese, culture"
What does 让 mean in 我不但能够让外国人坐我的车，还能够让他包我的车?,"usage, meaning in context"
What do the Symbols ◒ and ◓ Signify In Old Chinese Poetry Books?,poetry
The differences between 生日 and 生辰,"translation, synonyms"
Why is the boss called 老板?,"etymology, expressions"
How and when to consider 面子 when speaking Chinese?,"word choice, grammar, vocabulary, word requests, politeness"
"In traditional Chinese, when should one write 台灣 and when should one write 臺灣?","difference, traditional characters, taiwan"
"How often are the use of particles like 咧, 啊, 吧, 呀 supposed to be used?",particles
Difference between 地 and 的,meaning
Where to find graduated text/books?,"resources, hsk"
How can I make sense of 落家里 within 张东把钥匙落家里了?,"grammar, usage"
What is this thing?,"simplified characters, character identification"
What is the most complex simplified character?,characters
"Usage of 在 in Place complement, Time Complement",time
How many syllables does Chinese have?,"mandarin, phonology"
Can I express the numbers at more than one decimal point using 成?,"word, number"
Are there differences between 朋友 and 我朋友 in modern Chinese?,meaning
"Sentence construction with 除了, 被，一方面","grammar, sentence structure"
How to negate an adjective in the past?,"adjectives, past tense, negation"
Counterfactual conditional sentences,"translation, grammar"
What does 一不留神 mean ...还写了不少东西，一不留神写了不少军报头条?,meaning
Pinyin chart which links to dictionary,"pinyin, dictionary"
Comparative Sentences (比较句：A没有B) - Is the grammar of the following combined sentence correct?,grammar
非 at the beginning of a sentence - Classical Chinese,classical chinese
Can anyone translate the Chinese text on the picture attached?,"translation, character identification"
Visual puns and phrases,characters
Adopting an appropriate Chinese name,names
"How to translate ""舔狗"" to English?",translation
Verbal reading of 块?,"grammar, mandarin, vocabulary"
When 亏 is kuī ? when yú?,pronunciation
When can 叫 be used saying that someone is calling someone and when for asking a name?,"usage, meaning in context"
What’s wrong with 我们八点快要上课了？,grammar
To what degree is 戈 used in common Mandarin?,"characters, radicals"
What is the meaning of 块状 in 最后用刀切成块状?,"meaning, meaning in context"
Is the '之' in '要之何用' also regarded as a possessive article?,"translation, grammar, meaning, meaning in context"
Understanding 到 and 去 in the sentence: 今天你把这袋粮食送到河对岸的村子里去吧,"translation, grammar"
Usage of 了 and 以后,"grammar, sentence structure"
"When did ""妳"" become the second person singular feminine pronoun?",pronouns
"Should one say ""习题解答与提示"" or ""习题解答或提示""？","word choice, conjunction"
"How to write ""Everyone"" in Chinese？",simplified characters
What does 有多 mean?,meaning
What is the meaning of 关心种子?,meaning
Meaning of 脏话 in 这里能说脏话吗,"translation, meaning in context"
(Cantonese) How to say there are always two sides to a story?,"cantonese, hong kong"
what is the different between 文言 and 书面？,grammar
Placement of object with adverbial phrase,"grammar, sentence structure, adverbs"
Is “就快下雨了” correct Mandarin?,"grammar, mandarin, cantonese"
What's the right sound of 浣,"pronounciation, heteronym"
Is the use of 她 here unusual?,usage
How to say: Things are not as simple as they seem,translation
"What does 己所不欲, 勿施于人 mean?",translation
"How do we translate ""to expect"", in the sense of ""the author expects the reader is familiar with Chinese culture""?","translation, word choice"
"Is e.g. 我与的朋友在二月份去中国 a colloquial way to say ""I'm going to China with my friends in Feburary""?",translation
The most used Chinese dialect on the Web?,"mandarin, topolect"
What does 防海固圉 mean?,"traditional characters, taiwan, terminology"
How to say a negative number in Mandarin?,translation
What is the first attested use of 美國/美国 in the sense of 'America' in Chinese?,"etymology, place names"
Chinese commentary about a Sun Tzu quotation,transcription
"Why 你在笑什么？, why not 你笑在什么？","translation, grammar, mandarin"
What is the meaning of this calligraphy?,"translation, calligraphy"
我很喜歡你呀 in a specific context,meaning in context
Where does the 'nominative object' go?,sentence structure
Can 形象 be used as a verb?,usage
What computer games provide practice?,games
How to use 走勢 in finance/tech industry,"usage, meaning in context, traditional characters"
"How do we describe a ""sophisticated person""?","vocabulary, word requests"
Arrange 叶子 / 落下来 / 一片片 / 从 / 树上 to form a sentence: is 一片片叶子从树上落下来 the only correct option?,"grammar, word order"
"Is 家婆 the term for a woman's ""mother in law"" in Mandarin too?","mandarin, difference, cantonese"
What does 大快人心 mean when used as a stand alone exclamation?,"meaning, phrase meaning"
"How to say something is ""an acquired taste"" in Chinese?",translation
"Is there an equivalent of ""alpha, beta..."" for enumeration of software in Chinese?",number
"Is 下个星期三 (xiàge xīngqīsān) = ""next Wednesday"" ambiguous like in English?","usage, time"
Using 瑞士的瑞 to address the character 瑞,spelling
What do these seal stamps and characters on my pair of Chinese paintings mean?,"translation, characters, seal"
Why is 性 in the sentence 你不能吃凉性的水果?,"grammar, word choice"
"Is 天的数月 the correct way to say ""days of the month""?",translation
Why is there a 零 in 三年零九个月?,usage
"English text of 穆天子傳 (Tale of King Mu, Son of Heaven)",translation
"Is ""一些队员一样太好"" correct?",grammar
"The position of 已经 in ""have been doing something for some times already""","translation, grammar, usage, word"
Can't understand the character used in manhua (Character identified: 啪),"characters, character identification"
Which translation is best for 'quid pro quo'?,usage
Using 二 before measure words instead of 两,"grammar, measure word"
"How to translate ""顾方略何如耳，不至学古兵法“?",translation
"What's the meaning of this sentences with 丛, 纷纷扬扬 and 飘来飘去?","translation, usage"
What role does 一种 have in 一种似曾相识的感觉?,"meaning, meaning in context"
How to expess “nostalgia” in chinese？,grammar
How extensible is the tonal quality rule?,tones
Men's and women's Chinese names,"names, gender"
"Basic sentence: ""I have lost my... (camera/keys etc""","word choice, sentence structure, phrase"
What does 头 mean in 时常一待就几个钟头?,"grammar, meaning in context, word"
"How would one translate ""full of life?""","translation, idioms"
"Table-tennis table: 乒乓球桌, 乒乓球台 or 乒乓球案子?",vocabulary
Is Putonghua Mandarin Chinese or is it standard Mandarin Chinese?,mandarin
Translation of the official title 王府率 (Tang dynasty),"translation, classical chinese, history"
"Collection of Chinese sentence-level grammar rules as semi-structured ""data""?","grammar, sentence structure"
What level of a position 卿 is at as in 国务卿?,word
What characters have been politically corrected before?,characters
Why do Malaysians have Cantonese surnames?,"etymology, cantonese, names"
Can 又...又... be used to link 2 sentences/phrases?,grammar
Why does Chinese combine words with the same meaning to produce again the same meaning like 睡觉?,dictionary
"How is the ""r"" sound pronounced?","pronunciation, pinyin"
How to translate and answer the question?,"translation, grammar"
what's the logic in 憋久了？,"grammar, characters"
吃 VS 吃掉 difference,difference
How do I improve Mandarin vocal conversation?,"learning, conversation, spoken"
Mandarin Neutral Tone: Tone Value?,tones
"Help understanding ""Hen ngai cang hiau chut-theu"" by Zhang Shaolin","translation, hakka"
What's the difference between 都 and 对?,"word choice, difference"
Discrepancy of everyday Chinese and the English translation in 答林正字书,translation
"The slang(?) phrase ""乾掉了""","vocabulary, meaning in context, expressions, traditional characters, phrase"
什么都没有 和 没有什么 difference,"translation, grammar, meaning"
Can anyone help identify this artist and translate writing?,"translation, character identification"
Should the temporal indicators be in a certain order?,sentence structure
"How to say ""at first sight""?",translation
What is N件事? (Cantonese),"cantonese, slang"
Does 听说你去丽江玩儿了 imply they are still in 丽江?,"grammar, meaning, particles"
When to use 手 and when to use 家 for a type of musician or other specialist,"word choice, difference, characters"
What’s the meaning of 会 in 你明天这个时候会是在做什么?,"translation, meaning"
"What is the difference between 可是, 但是, 但, 而, 不过, and 然而?","meaning, word choice"
What role does 成 (chéng) play in the sentence 我把十块美元换成人民币?,"usage, meaning in context"
What is the Chinese word for a Chinese lantern?,word requests
What is the difference between 星心相印 and 心心相印？,"difference, taiwanese"
What is the meaning and translation of my niece's name?,names
"Is it possible to quip ""My package went to Nanjing, but I'm in Beijing; that's the complete opposite Jing""?","grammar, humor"
What's this new Chinese character which looks like 座?,characters
Name underlining (whole word or just part of it?),writing
节期: jiéqī vs. jiéqí,pronunciation
"Can you say “回去 ____"" （A location？）",grammar
分别 vs 分别地 what is the difference?,difference
Difference between 佔 and 占,"meaning, usage"
Grammar/meaning of 好 in ”怎么才能唱好歌?“ ？,grammar
"How do you write, ""one who does good"" in Classical Chinese?","grammar, vocabulary, classical chinese"
"Good Transliteration of the name ""Chloe""","translation, names"
给我站住: Idiom or common meaning,"idioms, phrase"
"How to translate a non-recreational but activism/protest ""campout""?","translation, terminology"
What does this name mean in Chinese?,names
"How to translate ""range from X to Y""?","translation, grammar"
What board games would facilitate speaking practice?,"spoken, games"
Difference between 饭店，饭馆 and 餐馆？,"word choice, difference, synonyms"
"How to say ""fail"" in Mandarin? (as in ""epic fail"" in internet memes)","translation, internet slang"
Tranlation of a text message (你好我係喜歡派對 ?),translation
Why 他妈的 means (swear word),phrase
placing the object between subject and the verb,word order
How to come from 二百五 to 二百九?,meaning
"How did 客气 come to mean ""polite""?",etymology
What's the difference between 眼熟 and 面熟?,vocabulary
大半 vs 多数 usages,"meaning, usage, difference, phrase meaning"
"I want to understand why 会 is used inside ""你怎么会不知道呢?""","translation, grammar, tense"
What's the correct classifier for `房子`?,"mandarin, measure word"
"I wonder is there a Mandarin term for "" jump the shark""","translation, equivalent phrase"
Can I replace 当 with 是 in this sentence,meaning
"Why is it written LIU in Pinyin, when there's clearly an O sound?","pronunciation, pinyin, spelling"
Dealing with expressions in classical Chinese letters: 月日 and 惶恐百拜,"translation, classical chinese"
What are the correct ways to add subjects (主语) in 虽然……但是 sentences?,"grammar, word order"
What's the difference between the 听到， 听见？,difference
Why do Hong Kong or Taiwan use reverse word order for some phrases?,word order
What does this sticker say? (Characters identified: 萬事如意),character identification
Can anyone help with the stamp/seal on this print?,translation
Chinese Idiom puzzle 20 (中文填字遊戲),"idioms, games, puzzle"
Meaning of 走马看花,chengyu
How to pronounce the “的” in “他妈的”?,"pronunciation, swearing"
Is there a word for 1/3?,word choice
Translation: 机制 (better translations),translation
On the day: Difference between 每到教师节 and 每到教师节这一天,"meaning, difference"
Is 没V着 a pattern?,grammar
How did the abbreviations 520 and 521 arise?,"etymology, internet slang"
What is the meaning of 元亨利贞 in the I-Ching?,"meaning, classical chinese"
Are there relative pronouns in Chinese,grammar
What does the measure word 一片 mean? and how to use it?,"meaning, usage"
What's the meaning of lai2 in this sentence?,"meaning, characters"
Is to embrace or think of spring an expression?,"expressions, classical chinese"
"What does 閣 mean in ""愛情你比我想的閣較偉大""?","translation, meaning, meaning in context, hokkien, taiwanese"
What part of speech is 到 (to) when used in 两只饿到眼绿的老鼠正在房梁上打架?,"grammar, usage, meaning in context"
"How to ask ""anybody/anyone/somebody/someone"" questions in Chinese?","translation, grammar, word choice, vocabulary"
What is the 门 in 厦门 and 澳门？,"meaning in context, etymology, history"
What is the English original of 精致的平庸?,phrase meaning
Is there any difference of the meaning of 闹 between 婚闹 and 闹新房?,"word, culture"
Meaning of one seal and characters on my Chinese painting?,"translation, characters, character identification, seal"
Expressing 'about' in Chinese,"grammar, word choice, word requests, sentence structure, word"
Can Chinese readers scan large amounts of text faster/more accurately than their alphabet-using counterparts?,"characters, reading"
What is the meaning of 凝聚人心？,meaning
Translation help please,translation
What’s the difference between 你去干嘛 and 你去吗?,"meaning in context, conversation"
When and why is 的 used with an object in the middle between compound verbs?,"grammar, usage, separable verbs"
Word for “planet”,"etymology, history"
Explanation for simplification of 遙,"simplified characters, traditional vs simplified"
Where to find online and easy reading material in traditional Chinese,"traditional characters, reading"
What is the verb of 要回过头来走老一辈的路?,"meaning in context, verbs"
How to improve my Chinese handwriting?,writing
What exactly does 差不多先生 mean?,translation
How much more is '翻一番‘,grammar
Cantonese called white language by mainland chinese,cantonese
how to say ”(尤为)难得“ in English?,"translation, word"
How to ask about chinese firstname?,"names, surnames"
What letters (A-Z) have Chinese counterparts?,translation
Resultative complement 到,grammar
Answering yes/no a question with 会。,grammar
preposition structure,"sentence structure, preposition"
Translate 'operational' and 'strategic' in Chinese,translation
Is there a distinction between 怎样 (zěnyàng) and 怎么样 (zěnmeyàng)?,"usage, difference"
Is there a reliable way to check if an idiom (成语) is widely used?,"idioms, chengyu"
How to ask for a given choice of options?,"translation, grammar"
Hard to translate music verse,translation
辛苦 meaning and bushou for 辛 and 苦,"etymology, glyph origin"
"What is a snappy way to express e.g. ""my brain has switched off"" that is familiar to native Chinese ears?",translation
How does 驕's 2021 meanings appertain to its semantic component 馬?,etymology
Borrowed cantonese word for “normal”,"cantonese, colloquialisms"
A Chinese-language joke where near-identical sentences have different meanings: how do I translate this and find the humor?,translation
以后我少的一点儿 what does this mean?,"translation, grammar"
"How do you enter a half comma (顿号, dùnhào) with Google Pinyin IME and a French keyboard?","writing, input methods, punctuation"
Learning how to use measure / count words properly,"grammar, measure word"
Adding 点儿 to an adjective,"grammar, comparison, mood, change"
Translate Seal Characters to Mandarin? Picture #2 (Characters identified: 青鸞舞鏡),seal
Is there any difference between 我给你不买 and 我不给你买?,"translation, grammar"
Differentiating between adjective and adverb?,grammar
Difference between 更好 and 比较好?,mandarin
Why is 吏 (lì) pronounced differently to 史 (shǐ) and 使 (shǐ)?,"characters, etymology, pronunciation"
Pinyin vs. Pronunciation of 嗯?,"pronunciation, pinyin"
Cantonese song 不可一世 - what is the spoken part at 2:02?,"cantonese, songs"
Difference between 室友 and 同屋,"difference, politeness"
Use of 成 / 乘 number quantifiers in Cantonese,"cantonese, measure word"
In which pitches do I pronounce several first tones in a sequence?,"pronunciation, tones"
Chinese literature database 中文文学作品资料库,"literature, database"
"what is the of exact original/source text of ""Life is really simple, but we insist on making it complicated""","translation, traditional characters"
Which verbs DO NOT go with 了 and or 过?,"grammar, mandarin"
What does this character from PUBG mean in Chinese? (Character identified: 魂),"character identification, games"
What belongs together here '年产数百万顿的'?,meaning
When do people say 祝你工作快乐?,phrase
How do you refer to multiple people with the same surname?,"mandarin, names"
"About a potential Chinese version of the movie ""Vom Suchen und Finden der Liebe""","translation, culture, movies"
Use of 不太 and when is it necessary?,grammar
What exactly does 媽个八子 mean?,culture
Are there any circumstances in which 弈 (yì) could be mistaken for 野 (yě)?,"topolect, mistakes"
"In the sentence ""您的外卖可能会晚到一会"" what is the function of 到？","translation, grammar"
What does 老 indicate in 为啥他老在摇？,meaning in context
how many characters should i learn?,characters
Meaning of the saying 逢着天门,translation
"How is 我简直不敢相信！ translated as ""I can't believe it!""",translation
"How do I say ""She's changed a lot""",grammar
"Three ways to say ""I danced for three hours"".","grammar, difference"
"Correct pronunciation of ""和""",pronunciation
"To see, to watch, to meet - 看 vs 见 vs 看见",difference
"What's the origin of the proverbial phrase, ""Sky falls/does not fall big pancakes""?",etymology
"what is the meaning of ""他来了请闭眼""",translation
Chinese words that are their own antonyms,"etymology, antonyms"
What is the term for these piles of tiles on top of a roof?,terminology
The synonyms of '雨后送伞',idioms
"How appropriate is ""拜拜""?","taiwan, politeness, loanwords, informal"
"How should one translate ""祝你年年有今日，歲歲有今朝"" into English?",expressions
What is the difference between 缩减 and 削减？,"meaning, difference"
"Is there an etymological connection between 只得 (zhǐde) = ""be obliged to"" and 得 (děi) = ""to have to""?",etymology
what's 奶酥 in english?,"translation, food"
Could 恭喜发财 sound inappropriate?,greetings
Is Mandarin impossible for my goals?,"translation, meaning, vocabulary"
Translation of characters on antique metal,"translation, character identification"
Is the opposite of 上床 下床 or 起床?,word choice
"What is the difference in use between 以及, 和 and 与?","word choice, usage, grammar, sentence structure"
What is the difference between these two words 叫做 and 叫作?,"word choice, meaning, usage"
"What is ""qiou""?","meaning, characters"
what exact image is the basis for the 圭?,"meaning, etymology, glyph origin, calligraphy"
Does Jia Zheng (賈政) get angry over Xiren's (袭人) name in *Dream of the Red Chamber*?,literature
Is the i sound in chī (吃）and chǐ (尺）a sound not found in English?,"mandarin, pronunciation, taiwan"
"How and when is 做 used as the verb ""to be""?","grammar, usage, verbs"
Does 'chicken dinner games' refer to all battle royal type games?,meaning
"How do I say ""most of the time"" in Mandarin?",translation
"What are the correct terms for ""open accounts"" and ""closed accounts""?",translation
What is the correct pinyin for 哪儿?,pinyin
What is the difference between 法制 and 法治?,word choice
酵: jiào vs. xiào,"pronunciation, history"
"Why use 碰头 (pèngtóu) to mean ""meet"" instead of say 见, 见面, or 看见? (In e.g. 过两分钟我们在外面碰头)",word choice
What is 建设 in ...以期更好地展现我国航天建设的辉煌成就...?,meaning
Is 其他人 any different from 别的人?,"word choice, difference"
"Oral Tradition: Chinese Folktales, Sayings, Ballads, Songs, Chants, Etc",literature
Differentiating: 肚 and 胃 in English?,translation
Definitive list of ABB colors,adjectives
"How to pronounce ""论""","vocabulary, pronunciation"
"What is the translation for terms associated with ""predatory lending""?",translation
"How many stroke does Chinese Traditional Word ""蕭"" have?","radicals, strokes"
"How does 儘 + 管 compound to mean ""despite”?",etymology
"Meaning of ""去你的头""","meaning, meaning in context"
What is an example of a word that is different in definition in the Kangxi and Zhengzitong Dictionaries?,"word, dictionary"
Why's 言 the semantic component of 謙?,etymology
"How is ""biang"" as in ""biáng biáng miàn"" pronounced in other dialects?","pronunciation, topolect"
Job requirements for typing Chinese,"writing, mainland china, hong kong, transcription"
"part of speech - ""微"" 管仲，吾其被髮左衽矣。","grammar, word"
How to pronounce 一 in 他就一本本閱讀 and 他一有空就,pronounciation
What's the difference between 我住在 and 還活著?,"meaning, word choice, characters"
"What does 在来自中 (zài láizì zhōng) mean in 在来自中、俄、美、英、韩等五国, ...?","translation, meaning, meaning in context"
"A policeman asked me if I had already ""bàobēi"" (or something like this); what did he ask me?",meaning in context
Words that must be used together with no meaning alone,"word choice, word"
Tone Change: Why is 欢 (huan1) in 喜欢 (xi3huan0) pronounced with a neutral tone? Would you do that for all words ending in a first tone?,"pronunciation, tones, sandhi"
"If I forget how to write a character during the HSK, can I copy it from the supplied exam materials?",hsk
What is the meaning of 送上 here?,meaning
Why would Antimony (Sb) and Aluminum (Al) be confused?,"meaning, topolect"
Sentence Structure for past tense,sentence structure
What's the difference between 恭喜發財 and 恭禧發財?,"meaning, word choice, usage, difference"
What is the real meaning of 爸爸去哪儿?,meaning in context
What does “大概” mean? Are there any words with the same meaning?,"meaning, synonyms"
What is the literal translation of the first line of the Tao Te Ching?,"translation, meaning in context"
Can 再说 be used in a written context?,"meaning in context, phrase"
"Why does 就范 mean ""to give in""?","meaning, etymology"
Is there an Old Chinese dictionary which shows clearly the usage of a word?,"dictionary, old chinese"
Which (if any) of these name ideas sound native? Which sound foreign?,names
"Could you help me explain the meaning of ""顺其自然""?","meaning, vocabulary"
Is there a difference between 一共 and 总共?,word choice
Translations from TCM (Traditional Chinese medicine),"translation, reference materials"
"Is ""空时间"" a valid phrase in chinese? If not, why not?","word choice, phrase, idioms"
What is the meaning of 出来 in 在下面一拉篮筐就能把球弹出来?,"meaning, meaning in context"
Is  the character 年 (or its etymology) related to the mythical beast in Chinese mythology?,etymology
please help me translate this poem on my dizi into english,"mandarin, character identification"
认识 vs 知道 based on glyph origins,"difference, etymology, glyph origin"
What is a good English translation of 相见亦无事，别后常忆君。,translation
What does the Chinese text on this card say?,simplified characters
What exactly is meant by 光彩照人？,meaning
What is the difference between 例子 and 榜样?,synonyms
